,Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Contract Date,Property Type,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Land Lease Expiry,Normalized Price,longitude,latitude
894,GOLDEN MILE COMPLEX,5001 Beach Road #08 -41,19,Strata,225000,11842,3-Nov-17,Office,Resale,7,19,199588,Central Region,Kallang,2068,,103.865163649543,1.30275121635194
895,THOMSON V TWO,11 Sin Ming Road #B1 -23,19,Strata,490000,25789,2-Nov-17,Retail,Resale,20,57,575629,Central Region,Bishan,99999,,103.835547156524,1.35341660995059
896,ROXY SQUARE,50 East Coast Road #01 -73,26,Strata,688688,26488,1-Nov-17,Retail,Resale,15,42,428769,Central Region,Marine Parade,11979,,103.904051120306,1.304325999049
897,TANJONG PAGAR CONSERVATION AREA,"38,39 Craig Road",346,Land,18000000,51993,1-Nov-17,Shop House,Resale,2,8,89677,Central Region,Outram,2088,,-1,-1
898,GOLDEN MILE COMPLEX,5001 Beach Road #06 -06,86,Strata,780000,9070,31-Oct-17,Office,Resale,7,19,199588,Central Region,Kallang,2068,,103.865163649543,1.30275121635194
899,BUKIT PASOH EXTNSN CONSTN AREA,10 Jiak Chuan Road,122,Land,9100000,74346,31-Oct-17,Shop House,Resale,2,8,89264,Central Region,Outram,99999,,-1,-1
900,SIM LIM SQUARE,1 Rochor Canal Road #02 -14,38,Strata,908000,23895,31-Oct-17,Retail,Resale,7,18,188504,Central Region,Rochor,2082,,103.853037816787,1.30302427590084
901,THE CENTRAL,8 Eu Tong Sen Street #13 -91,82,Strata,2360000,28780,30-Oct-17,Office,Resale,1,5,59818,Central Region,Singapore River,2100,,103.770859150717,1.33486390029772
902,VISION EXCHANGE,"2 Venture Drive #15 -17,18,19",213,Strata,5106000,23972,30-Oct-17,Office,Resale,22,60,608526,West Region,Jurong East,2112,,103.744574631833,1.33015172071474
903,N.A.,240 Serangoon Road,87,Land,4900000,56064,30-Oct-17,Shop House,Resale,8,21,218086,Central Region,Rochor,99999,,103.854140735679,1.30979585759004
904,PARKLANE SHOPPING MALL,35 Selegie Road #01 -15,32,Strata,805000,25156,30-Oct-17,Retail,Resale,7,18,188307,Central Region,Rochor,2073,,103.849448612005,1.30064530196808
905,BUKIT TIMAH PLAZA,1 Jalan Anak Bukit #B1 -40,29,Strata,899000,31000,30-Oct-17,Retail,Resale,21,58,588996,Central Region,Bukit Timah,2075,,103.778600077834,1.33875930729067
906,SIM LIM SQUARE,1 Rochor Canal Road #01 -29,39,Strata,1418000,36359,30-Oct-17,Retail,Resale,7,18,188504,Central Region,Rochor,2082,,103.853037816787,1.30302427590084
907,ORCHARD PLAZA,150 Orchard Road #08 -06,42,Strata,856000,20381,30-Oct-17,Office,Resale,9,23,238841,Central Region,Orchard,2076,,103.841150144584,1.30125729409969
908,BURLINGTON SQUARE,"175A Bencoolen Street #08 -11,12",191,Strata,3200000,16754,27-Oct-17,Office,Resale,7,18,189650,Central Region,Rochor,2095,,103.852496451933,1.30221157403215
909,BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #01 -38,18,Strata,665000,36944,27-Oct-17,Retail,Resale,21,58,588179,Central Region,Bukit Timah,2882,,103.776031354379,1.34316475314327
910,PEACE CENTRE/MANSIONS,1 Sophia Road #02 -19,26,Strata,520000,20000,27-Oct-17,Retail,Resale,9,22,228149,Central Region,Rochor,2069,,103.849176263468,1.30107053775784
911,N.A.,154 Sims Avenue,120,Land,2150000,17887,27-Oct-17,Shop House,Resale,14,38,387476,Central Region,Geylang,99999,,103.879326900336,1.31431250014405
912,TEXTILE CENTRE,200 Jalan Sultan #03 -11,93,Strata,950950,10225,26-Oct-17,Retail,Resale,7,19,199018,Central Region,Kallang,2069,,103.861630792094,1.30393835645619
913,N.A.,"21,21A Joo Chiat Place",93,Land,3028000,32665,26-Oct-17,Shop House,Resale,15,42,427749,Central Region,Geylang,99999,,103.900231702971,1.31345676307814
914,KATONG PLAZA,1 Brooke Road #03 -10,17,Strata,530000,31176,26-Oct-17,Office,Resale,15,42,429979,Central Region,Marine Parade,11979,,103.903890730119,1.30413915139834
915,N.A.,"513,515 ETC Sims Avenue",305,Strata,3800000,12443,26-Oct-17,Shop House,Resale,14,38,387575,Central Region,Geylang,99999,,103.889049635145,1.31645349138064
916,CT HUB 2,114 Lavender Street #09 -07,64,Strata,1102400,17225,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
917,CT HUB 2,114 Lavender Street #07 -03,63,Strata,1084800,17219,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
918,CT HUB 2,114 Lavender Street #09 -04,59,Strata,1016000,17220,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
919,CT HUB 2,114 Lavender Street #08 -06,66,Strata,1136000,17212,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
920,CT HUB 2,114 Lavender Street #08 -05,58,Strata,998400,17214,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
921,CT HUB 2,114 Lavender Street #08 -04,59,Strata,1016000,17220,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
922,CT HUB 2,114 Lavender Street #07 -05,58,Strata,998400,17214,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
923,CT HUB 2,114 Lavender Street #07 -01,64,Strata,1102400,17225,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
924,CT HUB 2,114 Lavender Street #07 -07,64,Strata,1102400,17225,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
925,CT HUB 2,114 Lavender Street #08 -01,64,Strata,1102400,17225,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
926,CT HUB 2,114 Lavender Street #08 -02,60,Strata,1033600,17227,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
927,CT HUB 2,114 Lavender Street #07 -04,59,Strata,1016000,17220,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
928,TRIPLEONE SOMERSET,111 Somerset Road #08 -05,125,Strata,3632850,29063,25-Oct-17,Office,New Sale,9,23,238164,Central Region,Orchard,2074,,103.837317149115,1.30020622455912
929,CT HUB 2,114 Lavender Street #09 -03,63,Strata,1084800,17219,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
930,CT HUB 2,114 Lavender Street #09 -02,60,Strata,1033600,17227,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
931,CT HUB 2,114 Lavender Street #09 -01,64,Strata,1102400,17225,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
932,CT HUB 2,114 Lavender Street #08 -07,64,Strata,1102400,17225,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
933,CT HUB 2,114 Lavender Street #07 -06,61,Strata,1051200,17233,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
934,CT HUB 2,114 Lavender Street #07 -02,60,Strata,1033600,17227,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
935,CT HUB 2,114 Lavender Street #09 -05,64,Strata,1102400,17225,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
936,CT HUB 2,114 Lavender Street #08 -03,63,Strata,1084800,17219,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
937,CT HUB 2,114 Lavender Street #09 -06,61,Strata,1051200,17233,25-Oct-17,Office,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
938,PEOPLE~S PARK CENTRE,101 Upper Cross Street #05 -40B,48,Strata,480000,10000,24-Oct-17,Office,Resale,1,5,58357,Central Region,Outram,2069,,-1,-1
939,SIM LIM TOWER,10 Jalan Besar #13 -10,55,Strata,1090000,19818,24-Oct-17,Office,Resale,8,20,208787,Central Region,Rochor,99999,,103.854661432233,1.30377219987196
940,FAR EAST SHOPPING CENTRE,545 Orchard Road #11 -13,84,Strata,2260000,26905,24-Oct-17,Office,Resale,9,23,238882,Central Region,Orchard,2870,,103.829984821742,1.30550610776289
941,MALACCA CENTRE,20 Malacca Street #03 -00,170,Strata,4750000,27941,23-Oct-17,Retail,Resale,1,4,48979,Central Region,Downtown Core,2825,,103.952162980794,1.32622567811524
942,BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #B2 -13A,33,Strata,1000000,30303,23-Oct-17,Retail,Resale,21,58,588179,Central Region,Bukit Timah,2882,,103.776031354379,1.34316475314327
943,GOLDEN MILE COMPLEX,5001 Beach Road #08 -14,86,Strata,720000,8372,23-Oct-17,Office,Resale,7,19,199588,Central Region,Kallang,2068,,103.865163649543,1.30275121635194
944,GOLDEN MILE COMPLEX,5001 Beach Road #07 -31,41,Strata,490000,11951,23-Oct-17,Office,Resale,7,19,199588,Central Region,Kallang,2068,,103.865163649543,1.30275121635194
945,MANHATTAN HOUSE,151 Chin Swee Road #02 -17,49,Strata,478000,9755,23-Oct-17,Office,Resale,3,16,169876,Central Region,Outram,2068,,103.840813247609,1.28703443823015
946,SHENTON HOUSE,3 Shenton Way #21 -06,41,Strata,882640,21528,23-Oct-17,Office,Resale,1,6,68805,Central Region,Downtown Core,2068,,-1,-1
947,SHENTON HOUSE,3 Shenton Way #15 -05,41,Strata,788000,19220,20-Oct-17,Office,Resale,1,6,68805,Central Region,Downtown Core,2068,,-1,-1
948,BUGIS CUBE,470 North Bridge Road #04 -19,33,Strata,1000000,30303,20-Oct-17,Retail,Resale,7,18,188735,Central Region,Downtown Core,2826,,103.855635374053,1.29813983280826
949,GOLDEN WALL CENTRE,89 Short Street #02 -18,31,Strata,830000,26774,19-Oct-17,Office,Resale,7,18,188216,Central Region,Rochor,99999,,103.851448922737,1.30391369833159
950,N.A.,172 East Coast Road,173,Land,5650000,32754,18-Oct-17,Shop House,Resale,15,42,428878,Central Region,Marine Parade,99999,,103.90628749565,1.30648226651472
951,BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #03 -35,14,Strata,380000,27143,17-Oct-17,Retail,Resale,21,58,588179,Central Region,Bukit Timah,2882,,103.776031354379,1.34316475314327
952,LOFT @ NATHAN,428 River Valley Road #01 -04,55,Strata,1400000,25455,17-Oct-17,Retail,Resale,10,24,248327,Central Region,Tanglin,99999,,103.8276209036,1.29446098581957
953,GRANDLINK SQUARE,511 Guillemard Road #02 -08,18,Strata,485000,26944,17-Oct-17,Retail,Resale,14,39,399849,Central Region,Geylang,99999,,103.891500511283,1.31419129803568
954,SHENTON HOUSE,3 Shenton Way #09 -06,41,Strata,751000,18317,16-Oct-17,Office,Resale,1,6,68805,Central Region,Downtown Core,2068,,-1,-1
955,FAR EAST SHOPPING CENTRE,545 Orchard Road #05 -16,25,Strata,850000,34000,16-Oct-17,Office,Resale,9,23,238882,Central Region,Orchard,2870,,103.829984821742,1.30550610776289
956,THE GOLDEN LANDMARK,390 Victoria Street #03 -18,31,Strata,500000,16129,16-Oct-17,Office,Resale,7,18,188061,Central Region,Rochor,2080,,103.857804288546,1.30197196437957
957,N.A.,454 Race Course Road,127,Land,3200000,25237,13-Oct-17,Shop House,Resale,8,21,218697,Central Region,Kallang,99999,,103.858246886848,1.31611634872283
958,GOLDEN WALL CENTRE,89 Short Street #04 -11,62,Strata,1100000,17742,13-Oct-17,Office,Resale,7,18,188216,Central Region,Rochor,99999,,103.851448922737,1.30391369833159
959,SHENTON HOUSE,3 Shenton Way #08 -04,88,Strata,1467850,16680,12-Oct-17,Office,Resale,1,6,68805,Central Region,Downtown Core,2068,,-1,-1
960,THE PLAZA,7500A Beach Road #07 -302,67,Strata,850000,12687,12-Oct-17,Office,Resale,7,19,199591,Central Region,Kallang,2067,,103.860828918228,1.29977475328951
961,INTERNATIONAL PLAZA,10 Anson Road #34 -12,87,Strata,1686000,19379,12-Oct-17,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
962,TRIPLEONE SOMERSET,111 Somerset Road #07 -12,95,Strata,2658708,27986,12-Oct-17,Office,New Sale,9,23,238164,Central Region,Orchard,2074,,103.837317149115,1.30020622455912
963,HIGH STREET CENTRE,1 North Bridge Road #23 -06,93,Strata,1700000,18280,11-Oct-17,Office,Resale,6,17,179094,Central Region,Downtown Core,2068,,103.84921712944,1.28998869553167
964,N.A.,"288,288A,290,290A Lavender Street",327,Land,6880000,21040,10-Oct-17,Shop House,Resale,12,33,338805,Central Region,Kallang,99999,,103.860159306384,1.31461082284408
965,SQUARE 2,10 Sinaran Drive #09 -06,65,Strata,2500000,38462,10-Oct-17,Retail,Resale,11,30,307506,Central Region,Novena,2101,,103.844160737673,1.32070490289998
966,N.A.,"292,292A Lavender Street",247,Land,4000000,16227,9-Oct-17,Shop House,Resale,12,33,338806,Central Region,Kallang,99999,,103.860129656495,1.31469336979281
967,GOLDEN MILE COMPLEX,5001 Beach Road #08 -47,19,Strata,180000,9474,9-Oct-17,Office,Resale,7,19,199588,Central Region,Kallang,2068,,103.865163649543,1.30275121635194
968,CHINATOWN POINT,"133 New Bridge Road #22 -06,07,08",231,Strata,3330000,14416,9-Oct-17,Office,Resale,1,5,59413,Central Region,Outram,2079,,-1,-1
969,N.A.,"22,22A Lorong Mambong",168,Land,16200000,96601,9-Oct-17,Shop House,Resale,10,27,277681,Central Region,Bukit Timah,99999,,103.794964880186,1.31156782152031
970,JUNCTION NINE,18 Yishun Avenue 9 #01 -62,16,Strata,828000,51750,9-Oct-17,Retail,Sub Sale,27,76,768897,North Region,Yishun,2112,,103.84166098599,1.43312283983182
971,HIGH STREET CENTRE,1 North Bridge Road #03 -01,60,Strata,835000,13917,9-Oct-17,Retail,Resale,6,17,179094,Central Region,Downtown Core,2068,,103.84921712944,1.28998869553167
972,REGENCY SUITES,38 Kim Tian Road #02 -07,55,Strata,960000,17455,9-Oct-17,Office,Resale,3,16,169262,Central Region,Bukit Merah,99999,,103.82912604887,1.28434128785858
973,HAVELOCK2,2 Havelock Road #01 -34,24,Strata,1078500,44938,6-Oct-17,Retail,Resale,1,5,59763,Central Region,Singapore River,2082,,103.777676620392,1.31832181066544
974,SERANGOON PARK,"15,15-A Jalan Riang",217,Land,4300000,19816,6-Oct-17,Shop House,Resale,13,35,358987,North East Region,Serangoon,99999,,103.867531525178,1.34740736637294
975,TANJONG PAGAR CONSERVATION AREA,"16,16A,18,18A Tanjong Pagar Road",184,Land,8263800,45010,6-Oct-17,Shop House,Resale,2,8,88439,Central Region,Outram,2099,,-1,-1
976,GOLDEN WALL CENTRE,89 Short Street #03 -09,60,Strata,1300000,21667,6-Oct-17,Office,Resale,7,18,188216,Central Region,Rochor,99999,,103.851448922737,1.30391369833159
977,KAMPONG GLAM CONSERVATION AREA,18 Bali Lane,67,Land,5000000,74738,5-Oct-17,Shop House,Resale,7,18,189854,Central Region,Rochor,2832,,103.858776681068,1.30083864932019
978,REGENCY SUITES,38 Kim Tian Road #04 -09,94,Strata,1550000,16489,5-Oct-17,Office,Resale,3,16,169262,Central Region,Bukit Merah,99999,,103.82912604887,1.28434128785858
979,MACPHERSON MALL,401 Macpherson Road #03 -17,54,Strata,1191050,22056,5-Oct-17,Retail,Resale,13,36,368125,Central Region,Toa Payoh,99999,,103.879294500005,1.33177054479921
980,SUNTEC CITY,9 Temasek Boulevard #22 -01,325,Strata,8395920,25834,4-Oct-17,Office,Resale,1,3,38989,Central Region,Downtown Core,2088,,-1,-1
981,BUKIT TIMAH PLAZA,1 Jalan Anak Bukit #B1 -52B,56,Strata,1500000,26786,4-Oct-17,Retail,Resale,21,58,588996,Central Region,Bukit Timah,2075,,103.778600077834,1.33875930729067
982,BUKIT TIMAH PLAZA,1 Jalan Anak Bukit #B1 -52,139,Strata,2632800,18941,4-Oct-17,Retail,Resale,21,58,588996,Central Region,Bukit Timah,2075,,103.778600077834,1.33875930729067
983,SHENTON HOUSE,3 Shenton Way #03 -07,106,Strata,1400000,13208,3-Oct-17,Office,Resale,1,6,68805,Central Region,Downtown Core,2068,,-1,-1
984,ICON@CHANGI,228 Changi Road #05 -08,40,Strata,650000,16250,3-Oct-17,Office,Resale,14,41,419741,Central Region,Geylang,99999,,103.904690339855,1.31724236528867
985,N.A.,192 Joo Chiat Road,102,Land,2800000,27344,3-Oct-17,Shop House,Resale,15,42,427463,Central Region,Geylang,99999,,103.900105509831,1.31236088770704
986,CITY GATE,371 Beach Road #B1 -47,33,Strata,1406000,42606,3-Oct-17,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
987,TONG BUILDING,302 Orchard Road #18 -02,658,Strata,23300000,35410,3-Oct-17,Office,Resale,9,23,238862,Central Region,Orchard,99999,,103.834827438988,1.30394539797602
988,BALESTIER POINT,279 Balestier Road #02 -19,34,Strata,580000,17059,29-Sep-17,Office,Resale,12,32,329727,Central Region,Novena,99999,,103.852026274201,1.3228119372874
989,CITY PLAZA,810 Geylang Road #03 -117,23,Strata,600000,26087,29-Sep-17,Retail,Resale,14,40,409286,Central Region,Geylang,99999,,103.893472115119,1.31478689719772
990,LUCKY PLAZA,304 Orchard Road #05 -30,54,Strata,2382100,44113,29-Sep-17,Retail,Resale,9,23,238863,Central Region,Orchard,99999,,103.833961913093,1.30450609984441
991,KATONG SHOPPING CENTRE,865 Mountbatten Road #01 -58,34,Strata,1200000,35294,29-Sep-17,Office,Resale,15,43,437844,Central Region,Marine Parade,99999,,103.901515916971,1.30409731150953
992,N.A.,"1120,1120A Serangoon Road",130,Land,1080000,8301,29-Sep-17,Shop House,Resale,12,32,328205,Central Region,Kallang,2050,,103.865634060169,1.32445527329188
993,HEXACUBE,160 Changi Road #04 -08,73,Strata,1572621,21543,28-Sep-17,Office,Resale,14,41,419728,Central Region,Geylang,99999,,103.902443640278,1.31672325925552
994,HEXACUBE,160 Changi Road #04 -07,76,Strata,1637378,21544,28-Sep-17,Office,Resale,14,41,419728,Central Region,Geylang,99999,,103.902443640278,1.31672325925552
995,MACPHERSON MALL,401 Macpherson Road #02 -22,308,Strata,7694447,24982,28-Sep-17,Retail,Resale,13,36,368125,Central Region,Toa Payoh,99999,,103.879294500005,1.33177054479921
996,SINGAPORE SHOPPING CENTRE,190 Clemenceau Avenue #03 -23,15,Strata,219000,14600,28-Sep-17,Retail,Resale,9,23,239924,Central Region,Museum,2047,,103.844111318107,1.29815265394506
997,SUNTEC CITY,7 Temasek Boulevard #18 -01,430,Strata,9719892,22604,28-Sep-17,Office,Resale,1,3,38987,Central Region,Downtown Core,2088,,-1,-1
998,N.A.,26 Ann Siang Road,162,Land,14700000,90573,28-Sep-17,Shop House,Resale,1,6,69706,Central Region,Outram,2826,,-1,-1
999,TELOK AYER CONSERVATION AREA,23 Ann Siang Road,124,Land,10380000,83913,26-Sep-17,Shop House,Resale,1,6,69703,Central Region,Outram,2826,,-1,-1
1000,BURLINGTON SQUARE,175 Bencoolen Street #01 -55,38,Strata,1150000,30263,26-Sep-17,Retail,Resale,7,18,189649,Central Region,Rochor,2095,,103.852700671094,1.30224433829812
1001,FORTUNE CENTRE,190 Middle Road #03 -22,26,Strata,398000,15308,26-Sep-17,Office,Resale,7,18,188979,Central Region,Rochor,2079,,103.852286627386,1.30042241913977
1002,N.A.,"619H,619J Bukit Timah Road",134,Land,6088000,45399,26-Sep-17,Shop House,Resale,10,26,269728,Central Region,Bukit Timah,99999,,103.809118747227,1.32458247011254
1003,PEACE CENTRE/MANSIONS,1 Sophia Road #07 -23,70,Strata,730000,10429,26-Sep-17,Office,Resale,9,22,228149,Central Region,Rochor,2069,,103.849176263468,1.30107053775784
1004,BUKIT TIMAH PLAZA,1 Jalan Anak Bukit #B1 -43,28,Strata,830000,29643,25-Sep-17,Retail,Resale,21,58,588996,Central Region,Bukit Timah,2075,,103.778600077834,1.33875930729067
1005,TELOK AYER CONSERVATION AREA,182 Telok Ayer Street,133,Land,11800000,88855,22-Sep-17,Shop House,Resale,1,6,68630,Central Region,Downtown Core,2828,,-1,-1
1006,CONCORDE HOTEL AND SHOPPING MALL,"100 Orchard Road #02 -17,18",228,Strata,3900000,17105,22-Sep-17,Retail,Resale,9,23,238840,Central Region,Orchard,2078,,103.842228045431,1.30061437384278
1007,THE PLAZA,7500A Beach Road #14 -304,37,Strata,520000,14054,21-Sep-17,Office,Resale,7,19,199591,Central Region,Kallang,2067,,103.860828918228,1.29977475328951
1008,SUNTEC CITY,"8 Temasek Boulevard #41 -01,02,03",938,Strata,25040560,26696,21-Sep-17,Office,Resale,1,3,38988,Central Region,Downtown Core,2088,,103.889067281822,1.32162331576434
1009,PENINSULA SHOPPING COMPLEX,"3 Coleman Street #01 -27,31",38,Strata,1700000,44737,21-Sep-17,Retail,Resale,6,17,179804,Central Region,Downtown Core,2827,,103.850272637854,1.29180789601988
1010,KATONG SHOPPING CENTRE,865 Mountbatten Road #01 -59,34,Strata,1200000,35294,20-Sep-17,Office,Resale,15,43,437844,Central Region,Marine Parade,99999,,103.901515916971,1.30409731150953
1011,N.A.,97 East Coast Road,102,Land,5050000,49754,20-Sep-17,Shop House,Resale,15,42,428794,Central Region,Marine Parade,99999,,103.904162793531,1.30567773456777
1012,GSM BUILDING,141 Middle Road #05 -06,94,Strata,1150000,12234,20-Sep-17,Office,Resale,7,18,188976,Central Region,Rochor,2077,,103.852402885638,1.29943821079542
1013,CITY GATE,371 Beach Road #02 -25,40,Strata,1688000,42200,20-Sep-17,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
1014,GOLDEN MILE TOWER,6001 Beach Road #B1 -23,27,Strata,400000,14815,20-Sep-17,Retail,Resale,7,19,199589,Central Region,Kallang,2068,,103.864140679249,1.30189174683935
1015,ORCHARD TOWERS,400 Orchard Road #03 -33,15,Strata,750000,50000,19-Sep-17,Retail,Resale,9,23,238875,Central Region,Orchard,99999,,103.82921413868,1.30697796554332
1016,N.A.,55 Dickson Road,126,Land,2800000,22258,19-Sep-17,Shop House,Resale,8,20,209526,Central Region,Rochor,2858,,103.853501532722,1.30555183973796
1017,BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #04 -28,17,Strata,450000,26471,18-Sep-17,Office,Resale,21,58,588179,Central Region,Bukit Timah,2882,,103.776031354379,1.34316475314327
1018,GOLDEN MILE TOWER,6001 Beach Road #B1 -64,17,Strata,400000,23529,18-Sep-17,Retail,Resale,7,19,199589,Central Region,Kallang,2068,,103.864140679249,1.30189174683935
1019,INTERNATIONAL PLAZA,10 Anson Road #01 -07,32,Strata,1710000,53438,18-Sep-17,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
1020,BYLANDS BUILDING,135 Middle Road #01 -08,36,Strata,530000,14722,17-Sep-17,Office,Resale,7,18,188975,Central Region,Rochor,2077,,103.852615587406,1.29926160404458
1021,N.A.,16 Cuff Road,129,Land,3000000,23274,16-Sep-17,Shop House,Resale,8,20,209727,Central Region,Rochor,99999,,103.852751695444,1.3068226764111
1022,SIM LIM SQUARE,1 Rochor Canal Road #04 -11,53,Strata,1500000,28302,15-Sep-17,Retail,Resale,7,18,188504,Central Region,Rochor,2082,,103.853037816787,1.30302427590084
1023,N.A.,"292,292A Balestier Road",132,Land,4300000,32551,15-Sep-17,Shop House,Resale,12,32,329733,Central Region,Novena,99999,,103.852666288649,1.32309489774207
1024,THE CITRON,1 Marne Road #01 -30,47,Strata,1103400,23477,15-Sep-17,Retail,New Sale,8,20,208380,Central Region,Kallang,99999,,103.857214433401,1.31258887477107
1025,VISION EXCHANGE,2 Venture Drive #13 -04,48,Strata,1252000,26083,15-Sep-17,Office,Resale,22,60,608526,West Region,Jurong East,2112,,103.744574631833,1.33015172071474
1026,SULTAN PLAZA,100 Jalan Sultan #03 -54,57,Strata,830000,14561,15-Sep-17,Retail,Resale,7,19,199001,Central Region,Kallang,2077,,103.861851786604,1.30294523520252
1027,GOLDEN WALL CENTRE,89 Short Street #08 -04,90,Strata,1500000,16667,15-Sep-17,Office,Resale,7,18,188216,Central Region,Rochor,99999,,103.851448922737,1.30391369833159
1028,PEOPLE~S PARK COMPLEX,1 Park Road #02 -K73,16,Strata,1180000,73750,14-Sep-17,Office,Resale,1,5,59108,Central Region,Outram,2067,,-1,-1
1029,GOLDEN WALL CENTRE,89 Short Street #04 -03,37,Strata,800000,21622,14-Sep-17,Office,Resale,7,18,188216,Central Region,Rochor,99999,,103.851448922737,1.30391369833159
1030,N.A.,186 Yio Chu Kang Road,190,Land,1680000,8828,14-Sep-17,Shop House,Resale,19,54,545633,North East Region,Hougang,99999,,103.873562515381,1.36228936346659
1031,PRUDENTIAL TOWER,30 Cecil Street #01 -01,531,Strata,18950000,35687,13-Sep-17,Office,Resale,1,4,49712,Central Region,Downtown Core,2095,,-1,-1
1032,LE REGAL,340 Geylang Road #01 -05,12,Strata,900000,75000,12-Sep-17,Retail,Resale,14,38,389365,Central Region,Geylang,99999,,103.880368117228,1.31250268728
1033,TANJONG PAGAR CONSERVATION AREA,47 Neil Road,142,Land,4960000,34880,12-Sep-17,Shop House,Resale,2,8,88827,Central Region,Outram,2088,,-1,-1
1034,SIM LIM TOWER,10 Jalan Besar #03 -15,29,Strata,720000,24828,12-Sep-17,Retail,Resale,8,20,208787,Central Region,Rochor,99999,,103.854661432233,1.30377219987196
1035,N.A.,311 Joo Chiat Road,88,Land,2540000,28831,8-Sep-17,Shop House,Resale,15,42,427562,Central Region,Marine Parade,99999,,103.902501782136,1.30946053181419
1036,THE CENTRAL,6 Eu Tong Sen Street #09 -15,59,Strata,1618000,27424,8-Sep-17,Office,Resale,1,5,59817,Central Region,Singapore River,2100,,103.765281975403,1.33568622948333
1037,THE CENTRAL,8 Eu Tong Sen Street #11 -90,112,Strata,3015000,26920,8-Sep-17,Office,Resale,1,5,59818,Central Region,Singapore River,2100,,103.770859150717,1.33486390029772
1038,THE CENTRAL,8 Eu Tong Sen Street #11 -89,135,Strata,3632500,26907,8-Sep-17,Office,Resale,1,5,59818,Central Region,Singapore River,2100,,103.770859150717,1.33486390029772
1039,CITY GATE,371 Beach Road #02 -24,38,Strata,1541000,40553,8-Sep-17,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
1040,N.A.,5A Jalan Pinang,111,Strata,1800000,16216,7-Sep-17,Shop House,Resale,7,19,199137,Central Region,Rochor,99999,,103.858395143101,1.30262933097939
1041,N.A.,5 Jalan Pinang,96,Strata,2550000,26563,7-Sep-17,Shop House,Resale,7,19,199137,Central Region,Rochor,99999,,103.858395143101,1.30262933097939
1042,HEXACUBE,160 Changi Road #01 -04,60,Strata,2041700,34028,7-Sep-17,Retail,New Sale,14,41,419728,Central Region,Geylang,99999,,103.902443640278,1.31672325925552
1043,LITTLE INDIA CONSERVATION AREA,10 Madras Street,152,Land,3500000,23041,7-Sep-17,Shop House,Resale,8,20,208410,Central Region,Rochor,2093,,103.852740134666,1.30461645780007
1044,TEXTILE CENTRE,200 Jalan Sultan #01 -32,86,Strata,1080000,12558,6-Sep-17,Retail,Resale,7,19,199018,Central Region,Kallang,2069,,103.861630792094,1.30393835645619
