,Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Contract Date,Property Type,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Land Lease Expiry,Normalized Price,longitude,latitude
3056,CITY GATE,371 Beach Road #02 -47,26,Strata,1188000,45692,20-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.860335049351,1.31321743601324
3057,CITY GATE,371 Beach Road #01 -14,50,Strata,2938500,58770,20-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3058,ARC 380,380 Jalan Besar #01 -05,21,Strata,1540000,73333,20-Aug-14,Retail,New Sale,8,20,209000,Central Region,Kallang,99999,,103.862331661034,1.30231590504577
3059,CITY GATE,371 Beach Road #02 -14,47,Strata,2268000,48255,20-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.858119795876,1.31596979256496
3060,CITY GATE,371 Beach Road #01 -47,38,Strata,1948500,51276,20-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3061,RACE COURSE RD/OWEN RD CON AREA,446 Race Course Road,120,Land,4400000,36728,20-Aug-14,Shop House,Resale,8,21,218689,Central Region,Rochor,99999,,103.84921712944,1.28998869553167
3062,CITY GATE,371 Beach Road #01 -33,56,Strata,2323000,41482,19-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.777676620392,1.31832181066544
3063,HIGH STREET CENTRE,1 North Bridge Road #02 -22,23,Strata,330000,14348,19-Aug-14,Office,Resale,6,17,179094,Central Region,Downtown Core,2068,,103.744574631833,1.33015172071474
3064,HAVELOCK2,2 Havelock Road #01 -08,33,Strata,2255000,68333,18-Aug-14,Retail,New Sale,1,5,59763,Central Region,Singapore River,2082,,103.903479641307,1.30756108101688
3065,VISION EXCHANGE,2 Venture Drive #10 -11,71,Strata,1702000,23972,18-Aug-14,Office,New Sale,22,60,608526,West Region,Jurong East,2112,,103.777676620392,1.31832181066544
3066,SYCAMORE TREE,2 Fowlie Road #01 -11,67,Strata,2050000,30597,18-Aug-14,Retail,Sub Sale,15,42,428505,Central Region,Marine Parade,99999,,103.744574631833,1.33015172071474
3067,HAVELOCK2,2 Havelock Road #06 -10,33,Strata,886000,26848,18-Aug-14,Office,New Sale,1,5,59763,Central Region,Singapore River,2082,,-1,-1
3068,VISION EXCHANGE,2 Venture Drive #06 -11,71,Strata,1676000,23606,18-Aug-14,Office,New Sale,22,60,608526,West Region,Jurong East,2112,,103.878828409322,1.35348088326126
3069,CHINATOWN POINT,133 New Bridge Road #10 -04,69,Strata,1580000,22899,18-Aug-14,Office,Resale,1,5,59413,Central Region,Outram,2079,,103.862331661034,1.30231590504577
3070,UPPER SERANGOON SHOPPING CENTRE,756 Upper Serangoon Road #04 -31,11,Strata,248888,22626,18-Aug-14,Retail,Resale,19,53,534626,North East Region,Hougang,99999,,103.744574631833,1.33015172071474
3071,CITY GATE,371 Beach Road #B1 -15,436,Strata,16000000,36697,18-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.844111318107,1.29815265394506
3072,VISION EXCHANGE,2 Venture Drive #11 -27,48,Strata,1219000,25396,18-Aug-14,Office,New Sale,22,60,608526,West Region,Jurong East,2112,,103.744574631833,1.33015172071474
3073,SINGAPORE SHOPPING CENTRE,190 Clemenceau Avenue #01 -18,41,Strata,999000,24366,18-Aug-14,Retail,Resale,9,23,239924,Central Region,Museum,2047,,103.82498548292,1.44061446180994
3074,VISION EXCHANGE,2 Venture Drive #16 -28,48,Strata,1263000,26313,18-Aug-14,Office,New Sale,22,60,608526,West Region,Jurong East,2112,,-1,-1
3075,N.A.,"592B,592C Sembawang Road",116,Land,3300000,28424,17-Aug-14,Shop House,Resale,27,75,758451,North Region,Sembawang,2884,,103.862331661034,1.30231590504577
3076,BUKIT PASOH EXTNSN CONSTN AREA,"43,43A,43B Keong Saik Road",107,Land,7808800,73253,15-Aug-14,Shop House,Resale,2,8,89147,Central Region,Outram,99999,,103.777676620392,1.31832181066544
3077,CITY GATE,371 Beach Road #B1 -24,40,Strata,1248000,31200,14-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.864140679249,1.30189174683935
3078,HAVELOCK2,2 Havelock Road #01 -41,24,Strata,966000,40250,14-Aug-14,Retail,New Sale,1,5,59763,Central Region,Singapore River,2082,,103.862331661034,1.30231590504577
3079,GOLDEN MILE TOWER,6001 Beach Road #08 -07,85,Strata,1006500,11841,14-Aug-14,Office,Resale,7,19,199589,Central Region,Kallang,2068,,103.862331661034,1.30231590504577
3080,CITY GATE,371 Beach Road #02 -33,59,Strata,1968000,33356,14-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3081,CITY GATE,371 Beach Road #01 -35,55,Strata,2958000,53782,14-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.777676620392,1.31832181066544
3082,CITY GATE,371 Beach Road #B1 -53,32,Strata,1068000,33375,14-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3083,HAVELOCK2,2 Havelock Road #01 -13,24,Strata,1695200,70633,14-Aug-14,Retail,New Sale,1,5,59763,Central Region,Singapore River,2082,,103.862331661034,1.30231590504577
3084,CITY GATE,371 Beach Road #B1 -18,31,Strata,1528500,49306,14-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3085,CITY GATE,371 Beach Road #02 -58,36,Strata,1468500,40792,14-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3086,CITY GATE,371 Beach Road #B1 -28,38,Strata,1378500,36276,13-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3087,CITY GATE,371 Beach Road #01 -12,33,Strata,2238000,67818,13-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3088,CITY GATE,371 Beach Road #02 -43,42,Strata,1938000,46143,13-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.859941095391,1.311577219382
3089,CITY GATE,371 Beach Road #B1 -52,28,Strata,868500,31018,13-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.892580778514,1.31881487007652
3090,TYRWHITT 139,139 Tyrwhitt Road #01 -03,39,Strata,920000,23590,13-Aug-14,Retail,Resale,8,20,207557,Central Region,Kallang,99999,,103.862331661034,1.30231590504577
3091,PAYA LEBAR SQUARE,60 Paya Lebar Road #05 -55,50,Strata,1130000,22600,13-Aug-14,Office,Sub Sale,14,40,409051,Central Region,Geylang,2110,,103.862331661034,1.30231590504577
3092,CITY GATE,371 Beach Road #02 -03,97,Strata,4580250,47219,13-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3093,CITY GATE,371 Beach Road #B1 -21,53,Strata,1768500,33368,13-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3094,CITY GATE,371 Beach Road #B1 -54,30,Strata,1038000,34600,13-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3095,CITY GATE,371 Beach Road #B1 -17,31,Strata,1528500,49306,13-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3096,CITY GATE,371 Beach Road #B1 -55,42,Strata,1568250,37339,13-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3097,CITY GATE,371 Beach Road #B1 -22,54,Strata,1798500,33306,13-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.776539385406,1.34241264188644
3098,CITY GATE,371 Beach Road #01 -13,40,Strata,2468250,61706,13-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3099,BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road #01 -34,26,Strata,700000,26923,12-Aug-14,Retail,Resale,21,58,588177,Central Region,Bukit Timah,2078,,103.84166098599,1.43312283983182
3100,CITY GATE,371 Beach Road #01 -51,39,Strata,1998000,51231,12-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3101,JUNCTION NINE,18 Yishun Avenue 9 #02 -04,52,Strata,1790000,34423,12-Aug-14,Retail,Sub Sale,27,76,768897,North Region,Yishun,2112,,103.862331661034,1.30231590504577
3102,CITY GATE,371 Beach Road #01 -01,72,Strata,4480500,62229,12-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3103,CITY GATE,371 Beach Road #B1 -62,40,Strata,1468500,36713,12-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3104,CITY GATE,371 Beach Road #02 -02,78,Strata,3858000,49462,12-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3105,CITY GATE,371 Beach Road #01 -44,34,Strata,1388250,40831,12-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.744574631833,1.33015172071474
3106,CITY GATE,371 Beach Road #01 -52,39,Strata,1998000,51231,12-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3107,VISION EXCHANGE,2 Venture Drive #10 -24,48,Strata,1196000,24917,12-Aug-14,Office,New Sale,22,60,608526,West Region,Jurong East,2112,,103.862331661034,1.30231590504577
3108,CITY GATE,371 Beach Road #B1 -27,37,Strata,1278000,34541,12-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3109,CITY GATE,371 Beach Road #B1 -74,40,Strata,1478250,36956,12-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3110,CITY GATE,371 Beach Road #02 -18,27,Strata,1788000,66222,11-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
