Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
TEXTILE CENTRE,200 Jalan Sultan #03 -24,98,Strata,950000,9694,901,8-Mar-17,Retail,99 Yrs From 02/06/1970,Resale,7,19,199018,Central Region,Kallang
WOODS SQUARE,12 Woodlands Square #03 -82,52,Strata,1013100,19483,1810,8-Mar-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
THE CITRON,1 Marne Road #01 -15,47,Strata,996000,21191,1969,8-Mar-17,Retail,Freehold,New Sale,8,20,208380,Central Region,Kallang
LE SHANTIER,519 Balestier Road #03 -05,80,Strata,865000,10813,1005,6-Mar-17,Office,Freehold,Resale,12,32,329852,Central Region,Novena
THE CENTRAL,8 Eu Tong Sen Street #19 -92,82,Strata,2163350,26382,2451,6-Mar-17,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
THE CENTRAL,8 Eu Tong Sen Street #19 -91,82,Strata,2163350,26382,2451,6-Mar-17,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
PEOPLE~S PARK COMPLEX,1 Park Road #01 -22,45,Strata,3800000,84444,7845,3-Mar-17,Retail,99 Yrs From 25/03/1968,Resale,1,5,59108,Central Region,Outram
FAR EAST PLAZA,14 Scotts Road #05 -82,29,Strata,1150000,39655,3684,3-Mar-17,Retail,Freehold,Resale,9,22,228213,Central Region,Orchard
SIM LIM TOWER,10 Jalan Besar #03 -01,26,Strata,580000,22308,2072,3-Mar-17,Retail,Freehold,Resale,8,20,208787,Central Region,Rochor
GOLDHILL PLAZA,1 Goldhill Plaza #01 -09,83,Strata,3598864,43360,4028,2-Mar-17,Retail,999 Yrs From 21/06/1972,Resale,11,30,308899,Central Region,Novena
N.A.,14 Foch Road,140,Land,4680000,33405,3103,2-Mar-17,Shop House,Freehold,Resale,8,20,209258,Central Region,Kallang
SIM LIM TOWER,10 Jalan Besar #03 -30,33,Strata,670000,20303,1886,2-Mar-17,Retail,Freehold,Resale,8,20,208787,Central Region,Rochor
GOLDHILL PLAZA,1 Goldhill Plaza #01 -07,83,Strata,3598864,43360,4028,2-Mar-17,Retail,999 Yrs From 21/06/1972,Resale,11,30,308899,Central Region,Novena
GOLDHILL PLAZA,1 Goldhill Plaza #01 -05,83,Strata,3598864,43360,4028,2-Mar-17,Retail,999 Yrs From 21/06/1972,Resale,11,30,308899,Central Region,Novena
GOLDHILL PLAZA,1 Goldhill Plaza #01 -11,83,Strata,3598864,43360,4028,2-Mar-17,Retail,999 Yrs From 21/06/1972,Resale,11,30,308899,Central Region,Novena
GOLDHILL PLAZA,1 Goldhill Plaza #02 -11,110,Strata,2104542,19132,1777,2-Mar-17,Office,999 Yrs From 21/06/1972,Resale,11,30,308899,Central Region,Novena
ROXY SQUARE,50 East Coast Road #02 -75,25,Strata,678000,27120,2520,2-Mar-17,Office,9999 Yrs From 01/01/1980,Resale,15,42,428769,Central Region,Marine Parade
THE ADELPHI,"1 Coleman Street #10 -03,04,05",491,Strata,12600000,25662,2384,1-Mar-17,Office,999 Yrs From 12/05/1828,Resale,6,17,179803,Central Region,Downtown Core
SOHO LIFE,216 Joo Chiat Road #05 -26,94,Strata,970000,10319,959,1-Mar-17,Office,Freehold,Resale,15,42,427483,Central Region,Geylang
BOAT QUAY CONSERVATION AREA,79 South Bridge Road,148,Land,10380000,70040,6507,1-Mar-17,Shop House,999 Yrs From 10/08/1831,Resale,1,5,58709,Central Region,Singapore River
FAR EAST SHOPPING CENTRE,545 Orchard Road #05 -18,25,Strata,770000,30800,2861,1-Mar-17,Office,999 Yrs From 30/10/1871,Resale,9,23,238882,Central Region,Orchard
KRETA AYER CONSERVATION AREA,"26-26B,28-28B Temple Street",247,Land,18501000,74903,6959,28-Feb-17,Shop House,200 Yrs From 12/08/1872,Resale,1,5,58571,Central Region,Outram
WIS@CHANGI,116 Changi Road #04 -06,45,Strata,868000,19289,1792,28-Feb-17,Office,Freehold,Resale,14,41,419718,Central Region,Geylang
INTERNATIONAL PLAZA,"10 Anson Road #20 -04,04A",87,Strata,1310400,15062,1399,27-Feb-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
HIGH STREET PLAZA,77 High Street #07 -03,57,Strata,1180000,20702,1923,27-Feb-17,Office,999 Yrs From 11/06/1827,Resale,6,17,179433,Central Region,Downtown Core
PAYA LEBAR SQUARE,60 Paya Lebar Road #12 -13,101,Strata,1995000,19752,1835,27-Feb-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
SULTAN PLAZA,100 Jalan Sultan #04 -31,19,Strata,255000,13421,1247,24-Feb-17,Retail,99 Yrs From 02/05/1978,Resale,7,19,199001,Central Region,Kallang
SAMSUNG HUB,"3 Church Street #20 -01,02,03,04 ETC",1220,Strata,43072960,35306,3280,23-Feb-17,Office,999 Yrs From 25/01/1827,Resale,1,4,49483,Central Region,Downtown Core
HIGH STREET CENTRE,1 North Bridge Road #23 -04,51,Strata,903125,17708,1645,22-Feb-17,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
TEXTILE CENTRE,200 Jalan Sultan #12 -03,82,Strata,765000,9329,867,22-Feb-17,Office,99 Yrs From 02/06/1970,Resale,7,19,199018,Central Region,Kallang
INTERNATIONAL PLAZA,10 Anson Road #17 -21,44,Strata,905000,20568,1911,22-Feb-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
HIGH STREET CENTRE,1 North Bridge Road #23 -05,93,Strata,1646875,17708,1645,22-Feb-17,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
INTERNATIONAL PLAZA,10 Anson Road #34 -09,87,Strata,1404702,16146,1500,21-Feb-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
HOLLAND ROAD SHOPPING CENTRE,211 Holland Avenue #03 -17,16,Strata,800000,50000,4645,21-Feb-17,Retail,Freehold,Resale,10,27,278967,Central Region,Bukit Timah
WOODS SQUARE,12 Woodlands Square #03 -83,52,Strata,998000,19192,1783,21-Feb-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
GUILIN BUILDING,8 Lorong 27a Geylang #02 -01,147,Strata,1327000,9027,839,21-Feb-17,Office,Freehold,Resale,14,38,388106,Central Region,Geylang
SUNTEC CITY,9 Temasek Boulevard #22 -03,348,Strata,9362500,26904,2499,21-Feb-17,Office,99 Yrs From 01/03/1989,Resale,1,3,38989,Central Region,Downtown Core
INTERNATIONAL PLAZA,10 Anson Road #34 -08,219,Strata,3535974,16146,1500,21-Feb-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
ORCHID HOTEL,1 Tras Link #01 -18,38,Strata,3200000,84211,7823,20-Feb-17,Retail,99 Yrs From 02/10/2007,Resale,2,7,78867,Central Region,Outram
ESTA RUBY,500 Guillemard Road #01 -04,50,Strata,1463360,29267,2719,17-Feb-17,Retail,Freehold,Resale,14,39,399839,Central Region,Geylang
KAMPONG GLAM CONSERVATION AREA,26 Kandahar Street,98,Land,4000000,40692,3780,17-Feb-17,Shop House,Freehold,Resale,7,19,198888,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road #03 -89,32,Strata,1880000,58750,5458,16-Feb-17,Retail,99 Yrs From 08/04/1983,Resale,7,18,188504,Central Region,Rochor
INTERNATIONAL PLAZA,10 Anson Road #15 -15,43,Strata,874000,20326,1888,16-Feb-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
GOLDEN MILE COMPLEX,5001 Beach Road #06 -64,21,Strata,250000,11905,1106,15-Feb-17,Office,99 Yrs From 04/08/1969,Resale,7,19,199588,Central Region,Kallang
TEAMBUILD CENTRE,701 Geylang Road #04 -02,110,Strata,870000,7909,735,15-Feb-17,Office,99 Yrs From 19/02/2001,Resale,14,38,389687,Central Region,Geylang
N.A.,"361,363,365 Beach Road",252,Land,8000000,31746,2949,14-Feb-17,Shop House,Freehold,Resale,7,19,199576,Central Region,Rochor
KATONG PLAZA,1 Brooke Road #B1 -09,31,Strata,768000,24774,2302,10-Feb-17,Office,9999 Yrs From 01/01/1980,Resale,15,42,429979,Central Region,Marine Parade
CENTRIUM SQUARE,320 Serangoon Road #10 -09,80,Strata,2194200,27428,2548,8-Feb-17,Office,Freehold,New Sale,8,21,218108,Central Region,Kallang
ROXY SQUARE,50 East Coast Road #01 -19,23,Strata,590000,25652,2383,6-Feb-17,Retail,9999 Yrs From 01/01/1980,Resale,15,42,428769,Central Region,Marine Parade
MANHATTAN HOUSE,151 Chin Swee Road #08 -16,41,Strata,402000,9805,911,2-Feb-17,Office,99 Yrs From 15/10/1969,Resale,3,16,169876,Central Region,Outram
THONG TECK BUILDING,15 Scotts Road #03 -11,60,Strata,1700000,28333,2632,2-Feb-17,Office,Freehold,Resale,9,22,228218,Central Region,Orchard
HOLLAND ROAD SHOPPING CENTRE,211 Holland Avenue #03 -18,16,Strata,830000,51875,4819,1-Feb-17,Retail,Freehold,Resale,10,27,278967,Central Region,Bukit Timah
KAMPONG GLAM CONSERVATION AREA,"17,17A Haji Lane",48,Land,3250000,67992,6317,25-Jan-17,Shop House,999 Yrs From 17/03/1828,Resale,7,18,189210,Central Region,Rochor
SHENTON HOUSE,3 Shenton Way #15 -05,41,Strata,666351,16252,1510,25-Jan-17,Office,99 Yrs From 02/06/1969,Resale,1,6,68805,Central Region,Downtown Core
SHENTON HOUSE,3 Shenton Way #15 -04,88,Strata,1430917,16260,1511,25-Jan-17,Office,99 Yrs From 02/06/1969,Resale,1,6,68805,Central Region,Downtown Core
HOLLAND ROAD SHOPPING CENTRE,211 Holland Avenue #03 -22,16,Strata,950000,59375,5516,25-Jan-17,Retail,Freehold,Resale,10,27,278967,Central Region,Bukit Timah
CONCORDE SHOPPING CENTRE,317 Outram Road #01 -33,27,Strata,500000,18519,1720,25-Jan-17,Retail,99 Yrs From 16/06/1980,Resale,3,16,169075,Central Region,Bukit Merah
THOMSON PLAZA,301 Upper Thomson Road #02 -03,55,Strata,2030000,36909,3429,24-Jan-17,Retail,99 Yrs From 15/10/1976,Resale,20,57,574408,Central Region,Bishan
HOLLAND ROAD SHOPPING CENTRE,211 Holland Avenue #03 -16,16,Strata,940000,58750,5458,24-Jan-17,Retail,Freehold,Resale,10,27,278967,Central Region,Bukit Timah
N.A.,826-834/A Upper Bukit Timah Road,953,Land,17000000,17842,1658,24-Jan-17,Shop House,Freehold,Resale,23,67,678154,West Region,Bukit Panjang
THOMSON V TWO,11 Sin Ming Road #B1 -30,104,Strata,2300000,22115,2055,23-Jan-17,Retail,Freehold,Resale,20,57,575629,Central Region,Bishan
SOUTHBANK,883 North Bridge Road #01 -10,15,Strata,450000,30000,2787,20-Jan-17,Office,99 Yrs From 27/01/2006,Resale,7,19,198785,Central Region,Kallang
WOODS SQUARE,12 Woodlands Square #02 -65,52,Strata,984614,18935,1759,20-Jan-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
N.A.,162 Joo Chiat Road,156,Land,4550000,29260,2718,20-Jan-17,Shop House,Freehold,Resale,15,42,427437,Central Region,Geylang
MILLAGE,55 Changi Road #02 -17,12,Strata,600000,50000,4645,20-Jan-17,Retail,Freehold,Sub Sale,14,41,419709,Central Region,Geylang
HIGH STREET CENTRE,1 North Bridge Road #16 -08,51,Strata,891000,17471,1623,18-Jan-17,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
PENINSULA SHOPPING COMPLEX,3 Coleman Street #03 -34,29,Strata,815000,28103,2611,17-Jan-17,Retail,999 Yrs From 17/03/1828,Resale,6,17,179804,Central Region,Downtown Core
WOODS SQUARE,12 Woodlands Square #04 -76,52,Strata,1000000,19231,1787,17-Jan-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
PENINSULA SHOPPING COMPLEX,3 Coleman Street #03 -24,38,Strata,815000,21447,1993,17-Jan-17,Retail,999 Yrs From 17/03/1828,Resale,6,17,179804,Central Region,Downtown Core
TANJONG PAGAR CONSERVATION AREA,67 Tanjong Pagar Road,160,Land,8850000,55313,5139,16-Jan-17,Shop House,99 Yrs From 07/04/1992,Resale,2,8,88488,Central Region,Outram
TELOK AYER CONSERVATION AREA,97 Amoy Street,189,Land,12800000,67689,6288,13-Jan-17,Shop House,999 Yrs From 01/10/1827,Resale,1,6,69917,Central Region,Outram
THE CENTRAL,8 Eu Tong Sen Street #12 -82,81,Strata,2150000,26543,2466,11-Jan-17,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
HOLLAND ROAD SHOPPING CENTRE,211 Holland Avenue #01 -01,4,Strata,100000,25000,2323,11-Jan-17,Retail,Freehold,Resale,10,27,278967,Central Region,Bukit Timah
N.A.,156 Joo Chiat Road,170,Strata,2830000,16647,1547,11-Jan-17,Shop House,Freehold,Resale,15,42,427434,Central Region,Geylang
EAST VILLAGE,430 Upper Changi Road #01 -91,19,Strata,600000,31579,2934,10-Jan-17,Retail,Freehold,Resale,16,48,487048,East Region,Bedok
AXA TOWER,"8 Shenton Way #39 -01,02",327,Strata,10384000,31755,2950,10-Jan-17,Office,99 Yrs From 19/07/1982,Resale,1,6,68811,Central Region,Downtown Core
CONCORDE SHOPPING CENTRE,"317 Outram Road #B1 -01,02",427,Strata,5100000,11944,1110,9-Jan-17,Retail,99 Yrs From 16/06/1980,Resale,3,16,169075,Central Region,Bukit Merah
GOLDEN MILE COMPLEX,5001 Beach Road #03 -25,51,Strata,400000,7843,729,9-Jan-17,Retail,99 Yrs From 04/08/1969,Resale,7,19,199588,Central Region,Kallang
N.A.,"115,117 Owen Road",315,Land,850000,2700,251,6-Jan-17,Shop House,99 Yrs From 01/03/1959,Resale,8,21,218923,Central Region,Kallang
PEOPLE~S PARK COMPLEX,1 Park Road #02 -119,22,Strata,980000,44545,4138,6-Jan-17,Retail,99 Yrs From 25/03/1968,Resale,1,5,59108,Central Region,Outram
BUKIT PASOH CONSERVATION AREA,45 Cantonment Road,125,Land,6400000,51406,4776,5-Jan-17,Shop House,Freehold,Resale,2,8,89748,Central Region,Outram
STARS OF KOVAN,988 Upper Serangoon Road #01 -15,56,Strata,4118000,73536,6832,5-Jan-17,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
THE PROMENADE@PELIKAT,183 Jalan Pelikat #01 -32,19,Strata,600000,31579,2934,5-Jan-17,Retail,Freehold,Resale,19,53,537643,North East Region,Hougang
ROCCA BALESTIER,221 Balestier Road #01 -03,17,Strata,535000,31471,2924,4-Jan-17,Retail,Freehold,Resale,12,32,329928,Central Region,Novena
JURONG POINT,1 Jurong West Central 2/Bukit Timah Road #B1 -09 ETC,2940,Strata,52080000,17714,1646,1-Jan-17,Retail,99 Yrs From 01/12/1993,Resale,22,64,648886,West Region,Jurong West
N.A.,"7,7A,8 Tan Quee Lan Street #01 -01 ETC",203,Land,17500000,86122,8001,30-Dec-16,Shop House,999 Yrs From 25/01/1827,Resale,7,18,188097,Central Region,Downtown Core
N.A.,11 Dunlop Street,83,Land,2625000,31780,2952,30-Dec-16,Shop House,999 Yrs From 22/05/1876,Resale,8,20,209341,Central Region,Rochor
CROWN AT ROBINSON,"140 Robinson Road #09 -04,05",209,Strata,7568310,36212,3364,30-Dec-16,Office,Freehold,New Sale,1,6,68907,Central Region,Downtown Core
TELOK AYER CONSERVATION AREA,"49,49A Amoy Street",93,Land,6458888,69600,6466,29-Dec-16,Shop House,999 Yrs From 21/06/1833,Resale,1,6,69875,Central Region,Outram
GOLDHILL SHOPPING CENTRE,173A Thomson Road,155,Strata,3425000,22097,2053,29-Dec-16,Office,999 Yrs From 01/01/1970,Resale,11,30,307623,Central Region,Novena
N.A.,7 Jalan Pinang,96,Strata,2050000,21354,1984,28-Dec-16,Shop House,Freehold,Resale,7,19,199139,Central Region,Rochor
COMFORT GARDEN,"190A,190C Choa Chu Kang Avenue 1",374,Strata,3100000,8289,770,27-Dec-16,Shop House,Freehold,Resale,23,68,689466,West Region,Choa Chu Kang
SULTAN PLAZA,100 Jalan Sultan #09 -09,45,Strata,600000,13333,1239,23-Dec-16,Office,99 Yrs From 02/05/1978,Resale,7,19,199001,Central Region,Kallang
FU LU SHOU COMPLEX,149 Rochor Road #01 -01,34,Strata,2050000,60294,5601,23-Dec-16,Retail,99 Yrs From 16/06/1980,Resale,7,18,188425,Central Region,Rochor
GOLDEN MILE COMPLEX,5001 Beach Road #03 -61A,18,Strata,280000,15556,1445,22-Dec-16,Office,99 Yrs From 04/08/1969,Resale,7,19,199588,Central Region,Kallang
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road #03 -14,61,Strata,1200000,19672,1828,21-Dec-16,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
CITY GATE,371 Beach Road #02 -54,40,Strata,1756000,43900,4078,21-Dec-16,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
N.A.,118 Joo Chiat Road,435,Land,13118000,30136,2800,20-Dec-16,Office,Freehold,Resale,15,42,427407,Central Region,Geylang
N.A.,31A Lorong Mambong,213,Strata,4600000,21596,2006,20-Dec-16,Shop House,Freehold,Resale,10,27,277689,Central Region,Bukit Timah
HAVELOCK2,2 Havelock Road #04 -08,47,Strata,1188000,25277,2348,19-Dec-16,Office,99 Yrs From 04/05/1983,New Sale,1,5,59763,Central Region,Singapore River
GOLDEN MILE COMPLEX,5001 Beach Road #07 -13,86,Strata,880000,10233,951,17-Dec-16,Office,99 Yrs From 04/08/1969,Resale,7,19,199588,Central Region,Kallang
N.A.,42A Lorong 23 Geylang,102,Strata,888888,8715,810,15-Dec-16,Shop House,Freehold,Resale,14,38,388374,Central Region,Geylang
HIGH STREET CENTRE,1 North Bridge Road #09 -02,51,Strata,852500,16716,1553,15-Dec-16,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
FABER HILLS,"104,106 Faber Drive",276,Strata,4000000,14493,1346,14-Dec-16,Shop House,Freehold,Resale,5,12,129415,West Region,Clementi
THE PROMENADE@PELIKAT,183 Jalan Pelikat #01 -97,24,Strata,688000,28667,2663,14-Dec-16,Retail,Freehold,Resale,19,53,537643,North East Region,Hougang
NANYANG PARK,42 Jalan Limbok,131,Strata,1430000,10916,1014,14-Dec-16,Shop House,999 Yrs From 14/02/1881,Resale,19,54,548726,North East Region,Hougang
N.A.,327 Joo Chiat Road,84,Land,3360000,40095,3725,13-Dec-16,Shop House,Freehold,Resale,15,42,427584,Central Region,Marine Parade
GOODWILL COURT,79 Upper East Coast Road,98,Strata,670000,6837,635,13-Dec-16,Shop House,Freehold,Resale,15,45,455219,East Region,Bedok
THE RIVERSIDE PIAZZA,11 Keng Cheow Street #03 -09,145,Strata,2180000,15034,1397,6-Dec-16,Office,99 Yrs From 02/10/1992,Resale,1,5,59608,Central Region,Singapore River
CITY GATE,371 Beach Road #02 -53 ETC,81,Strata,3808350,47017,4368,5-Dec-16,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
SULTAN PLAZA,100 Jalan Sultan #08 -01,76,Strata,818000,10763,1000,5-Dec-16,Office,99 Yrs From 02/05/1978,Resale,7,19,199001,Central Region,Kallang
SUNTEC CITY,"7 Temasek Boulevard #35 -01,02,03",938,Strata,24232041,25834,2400,2-Dec-16,Office,99 Yrs From 01/03/1989,Resale,1,3,38987,Central Region,Downtown Core
SUNTEC CITY,"7 Temasek Boulevard #36 -01,02,03",938,Strata,24232041,25834,2400,2-Dec-16,Office,99 Yrs From 01/03/1989,Resale,1,3,38987,Central Region,Downtown Core
SUNTEC CITY,"7 Temasek Boulevard #24 -01,02,03",1095,Strata,28287937,25834,2400,2-Dec-16,Office,99 Yrs From 01/03/1989,Resale,1,3,38987,Central Region,Downtown Core
STARS OF KOVAN,988 Upper Serangoon Road #01 -27,26,Strata,1409000,54192,5035,2-Dec-16,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
THE CENTRAL,"8 Eu Tong Sen Street #11 -96,97",220,Strata,5564800,25295,2350,2-Dec-16,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
SUNTEC CITY,"7 Temasek Boulevard #25 -01,02,03",1095,Strata,28287937,25834,2400,2-Dec-16,Office,99 Yrs From 01/03/1989,Resale,1,3,38987,Central Region,Downtown Core
SUNTEC CITY,"7 Temasek Boulevard #34 -01,02,03",938,Strata,24232041,25834,2400,2-Dec-16,Office,99 Yrs From 01/03/1989,Resale,1,3,38987,Central Region,Downtown Core
THE CENTRAL,6 Eu Tong Sen Street #10 -11,59,Strata,1650000,27966,2598,30-Nov-16,Office,99 Yrs From 02/01/2001,Resale,1,5,59817,Central Region,Singapore River
N.A.,"1034,1034A Sembawang Road",174,Land,3200000,18349,1705,29-Nov-16,Shop House,Freehold,Resale,27,75,758503,North Region,Sembawang
CENTROPOD @ CHANGI,80 Changi Road #02 -39,11,Strata,358000,32545,3024,28-Nov-16,Retail,Freehold,Resale,14,41,419715,Central Region,Geylang
CHINATOWN POINT,133 New Bridge Road #13 -04,69,Strata,1510000,21884,2033,28-Nov-16,Office,99 Yrs From 12/11/1980,Resale,1,5,59413,Central Region,Outram
ORCHARD PLAZA,150 Orchard Road #02 -32,21,Strata,500000,23810,2212,25-Nov-16,Retail,99 Yrs From 02/06/1977,Resale,9,23,238841,Central Region,Orchard
LITTLE INDIA CONSERVATION AREA,20 Cuff Road,132,Land,3925000,29825,2771,22-Nov-16,Shop House,Freehold,Resale,8,20,209731,Central Region,Rochor
N.A.,130 East Coast Road,124,Land,6300000,50847,4724,21-Nov-16,Shop House,Freehold,Resale,15,42,428815,Central Region,Marine Parade
MANHATTAN HOUSE,151 Chin Swee Road #09 -10,32,Strata,410000,12813,1190,18-Nov-16,Office,99 Yrs From 15/10/1969,Resale,3,16,169876,Central Region,Outram
TANJONG PAGAR CONSERVATION AREA,40 Craig Road,147,Land,6000000,40844,3795,18-Nov-16,Shop House,99 Yrs From 28/07/1989,Resale,2,8,89678,Central Region,Outram
THE PROMENADE@PELIKAT,183 Jalan Pelikat #01 -96,24,Strata,740000,30833,2864,18-Nov-16,Retail,Freehold,Resale,19,53,537643,North East Region,Hougang
THE PETALS,97 Hillview Avenue #01 -33,46,Strata,670000,14565,1353,18-Nov-16,Retail,Freehold,Resale,23,66,669628,West Region,Bukit Batok
THE CENTREPOINT,176 Orchard Road #02 -13,34,Strata,1650000,48529,4508,17-Nov-16,Retail,99 Yrs From 17/08/1979,Resale,9,23,238843,Central Region,Orchard
QUEENSWAY SHOPPING CENTRE,1 Queensway #02 -31,24,Strata,910000,37917,3523,17-Nov-16,Retail,Freehold,Resale,3,14,149053,Central Region,Queenstown
PAYA LEBAR SQUARE,60 Paya Lebar Road #13 -13,101,Strata,1965300,19458,1808,17-Nov-16,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
HAVELOCK2,2 Havelock Road #07 -10,34,Strata,915000,26912,2500,17-Nov-16,Office,99 Yrs From 04/05/1983,New Sale,1,5,59763,Central Region,Singapore River
PARKWAY PARADE,"80 Marine Parade Road #16 -05,06,07,08 ETC",418,Strata,6550000,15670,1456,15-Nov-16,Office,99 Yrs From 17/08/1979,Resale,15,44,449269,Central Region,Marine Parade
N.A.,252 Joo Chiat Road,205,Land,4590000,22390,2080,15-Nov-16,Shop House,Freehold,Resale,15,42,427506,Central Region,Geylang
SELETAR HILLS ESTATE,"10,10A Jalan Selaseh",202,Land,2850000,14088,1309,14-Nov-16,Shop House,999 Yrs From 01/01/1879,Resale,28,80,808437,North East Region,Serangoon
FAR EAST PLAZA,14 Scotts Road #03 -91,29,Strata,2000000,68966,6407,14-Nov-16,Retail,Freehold,Resale,9,22,228213,Central Region,Orchard
VISION EXCHANGE,2 Venture Drive #06 -30,48,Strata,1178000,24542,2280,11-Nov-16,Office,99 Yrs From 10/06/2013,New Sale,22,60,608526,West Region,Jurong East
SHENTON HOUSE,3 Shenton Way #10 -02,52,Strata,896000,17231,1601,11-Nov-16,Office,99 Yrs From 02/06/1969,Resale,1,6,68805,Central Region,Downtown Core
THE OCTAGON,"105 Cecil Street #24 -01,02,03,04",575,Strata,14200000,24696,2294,11-Nov-16,Office,Freehold,Resale,1,6,69534,Central Region,Downtown Core
N.A.,65 Jalan Besar,105,Land,4550000,43292,4022,11-Nov-16,Shop House,Freehold,Resale,8,20,208813,Central Region,Rochor
THE CENTRAL,8 Eu Tong Sen Street #19 -96,82,Strata,2465000,30061,2793,10-Nov-16,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
ROBINSON 77,77 Robinson Road,3013,Land,530800000,176164,16366,10-Nov-16,Office,99 Yrs From 18/02/1994,Resale,1,6,68896,Central Region,Downtown Core
FAR EAST PLAZA,14 Scotts Road #05 -123,20,Strata,1040000,52000,4831,9-Nov-16,Retail,Freehold,Resale,9,22,228213,Central Region,Orchard
ONZE @ TANJONG PAGAR,11 Kee Seng Street #01 -11,24,Strata,1550016,64584,6000,9-Nov-16,Retail,Freehold,New Sale,2,8,89218,Central Region,Outram
N.A.,270 Joo Chiat Road,84,Strata,1590000,18929,1759,9-Nov-16,Shop House,Freehold,Resale,15,42,427524,Central Region,Geylang
CITY GATE,371 Beach Road #B1 -71,47,Strata,2046000,43532,4044,8-Nov-16,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
MANHATTAN HOUSE,"151 Chin Swee Road #07 -12,14",112,Strata,1200000,10714,995,8-Nov-16,Office,99 Yrs From 15/10/1969,Resale,3,16,169876,Central Region,Outram
N.A.,8 Joo Chiat Terrace,82,Land,1550000,19018,1767,7-Nov-16,Shop House,Freehold,Resale,15,42,427181,Central Region,Geylang
N.A.,45 Hongkong Street,154,Land,13000000,84306,7832,5-Nov-16,Shop House,99 Yrs From 07/10/2009,Resale,1,5,59683,Central Region,Singapore River
GOLDEN VILLAGE - YISHUN TEN,51 Yishun Central 1 #01 -03,300,Strata,11802800,39343,3655,4-Nov-16,Retail,99 Yrs From 01/04/1990,Resale,27,76,768794,North Region,Yishun
GOLDEN VILLAGE - YISHUN TEN,"51 Yishun Central 1 #01 -01,02,09 ETC",666,Strata,25947200,38960,3619,4-Nov-16,Retail,99 Yrs From 01/04/1990,Resale,27,76,768794,North Region,Yishun
TANJONG PAGAR CONSERVATION AREA,4 Craig Road,154,Land,10800000,70267,6528,4-Nov-16,Shop House,99 Yrs From 22/09/1988,Resale,2,8,89664,Central Region,Outram
THE CENTRAL,8 Eu Tong Sen Street #20 -91,82,Strata,2465000,30061,2793,3-Nov-16,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
THE CENTRAL,8 Eu Tong Sen Street #20 -94,82,Strata,2465000,30061,2793,3-Nov-16,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
THE CENTRAL,8 Eu Tong Sen Street #20 -93,82,Strata,2465000,30061,2793,3-Nov-16,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
THE CENTRAL,8 Eu Tong Sen Street #20 -92,82,Strata,2465000,30061,2793,3-Nov-16,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
SULTAN PLAZA,100 Jalan Sultan #09 -02,106,Strata,1140000,10755,999,2-Nov-16,Office,99 Yrs From 02/05/1978,Resale,7,19,199001,Central Region,Kallang
