Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
N.A.,"37,39,41,43 Tanjong Pagar Road",602,Land,53500000,88915,8260,11-Feb-19,Shop House,99 Yrs From 16/12/1994,Resale,2,8,88460,Central Region,Outram
N.A.,"33,35 Tanjong Pagar Road",298,Land,26500000,89076,8275,11-Feb-19,Shop House,99 Yrs From 15/12/1994,Resale,2,8,88456,Central Region,Outram
HOUGANG GREEN SHOPPING MALL,21 Hougang Street 51 #01 -08,25,Strata,1100000,44000,4088,11-Feb-19,Retail,99 Yrs From 01/12/1994,Resale,19,53,538719,North East Region,Hougang
THE CENTRAL,8 Eu Tong Sen Street #22 -84,86,Strata,2028888,23592,2192,8-Feb-19,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
NORTH BRIDGE CENTRE,420 North Bridge Road #01 -05,60,Strata,2583336,43056,4000,8-Feb-19,Retail,998 Yrs From 25/01/1827,Resale,7,18,188727,Central Region,Downtown Core
SULTAN PLAZA,100 Jalan Sultan #04 -54,58,Strata,936000,16138,1499,8-Feb-19,Retail,99 Yrs From 02/05/1978,Resale,7,19,199001,Central Region,Kallang
PARKLANE SHOPPING MALL,35 Selegie Road #10 -23,42,Strata,480000,11429,1062,8-Feb-19,Office,99 Yrs From 01/12/1974,Resale,7,18,188307,Central Region,Rochor
THE CENTRAL,6 Eu Tong Sen Street #12 -05,57,Strata,1480000,25965,2412,7-Feb-19,Office,99 Yrs From 02/01/2001,Resale,1,5,59817,Central Region,Singapore River
BURLINGTON SQUARE,175A Bencoolen Street #07 -01,54,Strata,990000,18333,1703,1-Feb-19,Office,99 Yrs From 10/06/1996,Resale,7,18,189650,Central Region,Rochor
THE CENTRAL,8 Eu Tong Sen Street #16 -81,113,Strata,2850000,25221,2343,1-Feb-19,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
FU LU SHOU COMPLEX,149 Rochor Road #04 -03,205,Strata,3200150,15610,1450,31-Jan-19,Retail,99 Yrs From 16/06/1980,Resale,7,18,188425,Central Region,Rochor
N.A.,"48,48A Lorong Mambong",117,Land,8300000,71123,6607,31-Jan-19,Shop House,Freehold,Resale,10,27,277699,Central Region,Bukit Timah
N.A.,"316,316A Lavender Street",162,Land,4475000,27658,2569,31-Jan-19,Shop House,Freehold,Resale,12,33,338818,Central Region,Kallang
N.A.,787 Geylang Road,120,Land,3250000,27083,2516,31-Jan-19,Shop House,Freehold,Resale,14,38,389674,Central Region,Geylang
